姓名0,电话1,邮箱2,英文名称3,座机、传真4,职位5,公司名称6,地址7,高校8,专业名称9,资格证书10,中国地级市11,专业技术职务12,省份13,银行名称14,邮政编码15,姓氏16
谌笑萍,18862234665,ac7h603ke@tech.com,ArchibaldAlberta,027-54678623,总监,源美技术有限公司,武汉上促路 13号 始小区 35号楼 7单元 355室,北京大学,01哲学,法律文秘,石家庄市,教授,上海市,交通银行北京分行,,赵
丰玮多艺,18805921017,3rlcrc504@tech.com,FieldingBert,027-54678624,经理,泰如技术有限公司,武汉兔家路 07号 档小区 75号楼 1单元 506室,中国人民大学,0101 哲学,司法助理,张家口市,副教授,江苏省,交通银行北京永安里分理处,,钱
喜慧英,18588067708,t9too0bj3@tech.com,WindsorChasel,027-54678625,主管,自信和技术有限公司,武汉泌蓉路 03号 才小区 81号楼 4单元 470室,清华大学,010101 马克思主义哲学,法律秘书,承德市,高级讲师,浙江省,交通银行北京赛特支行,,孙
桓博超,18830360858,9t40nn9lc@tech.com,SmollettMay,027-54678626,秘书,协盈技术有限公司,武汉脸辆路 09号 夹小区 26号楼 3单元 235室,北京交通大学,010102 中国哲学,国际商法咨询师,唐山市,中学高级教师,安徽省,交通银行北京王府井支行,,李
郏思菱,13971099048,8qtidktsr@tech.com,CareyVivien,027-54678627,助理,茂发技术有限公司,武汉釉辛路 14号 潮小区 23号楼 2单元 284室,北京工业大学,010103 外国哲学,儿童智商测评师,秦皇岛市,讲师,北京市,交通银行北京春秀路分理处,,周
杭碧萱,15845662914,974ismd0q@tech.com,ClementSusan,027-54678628,协调人,长鑫技术有限公司,武汉苑敌路 14号 拙小区 85号楼 8单元 273室,北京航空航天大学,010104 逻辑学,育婴师,廊坊市,讲师,天津市,交通银行北京东单北大街支行,,吴
表绿蕊,18812579941,6lk4fml60@tech.com,HousmanAvery,027-54678629,代表,优元技术有限公司,武汉蜕啬路 04号 豢小区 67号楼 6单元 895室,北京理工大学,010105 伦理学,社会文化指导师,保定市,中学一级教师,广东省,交通银行北京东单支行光华路分理处,,郑
能飞莲,15176028773,7n3le1fjb@tech.com,StrongLeo,027-54678630,客服,丰汇技术有限公司,武汉恳顺藤摸瓜路 18号 让小区 31号楼 6单元 954室,北京科技大学,010106 美学,企业文化师,沧州市,助理讲师,河北省,交通银行北京天坛支行右安门分理处,,王
伏鸿飞,18553003127,ftaff60j4@tech.com,BeckyJoyce,027-54678631,文案,春凯技术有限公司,武汉纲评路 04号 肛小区 69号楼 1单元 291室,北方工业大学,010107 宗教学,商务法语,衡水市,中学二级教师,河南省,交通银行北京亚运村支行马甸分理处,,冯
邰姝丽,15105845498,br6j91kp0@tech.com,HoltIna,027-54678632,策划,隆顺技术有限公司,武汉歉剂路 19号 怯小区 38号楼 3单元 859室,北京化工大学,010108 科学技术哲学,商务韩语,邢台市,教员,山东省,交通银行北京亚运村支行安翔里分理处,,陈
纪依波,13914656735,krdadt32c@tech.com,HuxleyTroy,027-54678633,打字员,安广技术有限公司,武汉靡艘路 03号 糠小区 51号楼 5单元 401室,北京工商大学,02 经济学,商务日语,邯郸市,中学三级教师,湖北省,交通银行北京惠新支行,,褚
令怡君,18508062550,39sh868to@tech.com,SalomeColbert,027-54678634,校对,东进技术有限公司,武汉戳酉路 19号 阑小区 87号楼 9单元 504室,北京服装学院,0201 理论经济学,电子信息工程师,太原市,小学二级教师,湖南省,交通银行北京慧忠北里支行,,卫
华梓倩,15800536022,ll8oi84k4@tech.com,YaleBruno,027-54678635,翻译员,浩发技术有限公司,武汉脖俾路 04号 殉小区 70号楼 6单元 422室,北京邮电大学,020101 政治经济学,程控交换工程师,大同市,小学三级教师,江西省,交通银行北京亚运村支行惠忠里分理处,,蒋
都宽年华之卉,13620557988,e33tjgsi5@tech.com,April,027-54678636,设计师,义浩技术有限公司,武汉倬肝路 15号 糜小区 20号楼 7单元 571室,北京印刷学院,020102 经济思想史,ATM维护工程师,朔州市,研究员,福建省,交通银行北京育惠东路支行,,沈
衡光明,18568856982,aifgb1a7s@tech.com,PaulOlive,027-54678637,操作员,长圣技术有限公司,武汉咀爬路 18号 男小区 23号楼 1单元 447室,北京建筑大学,020103 经济史,计算机辅助设计师,忻州市,研究员,四川省,交通银行北京天通苑支行,,韩
帖雪卉,15124184859,n7sg8nbih@tech.com,DoraSally,027-54678638,工程师,金庆技术有限公司,武汉菜众路 10号 窝小区 75号楼 9单元 706室,北京石油化工学院,020104 西方经济学,计算机软件检验师,阳泉市,主任医师,重庆市,交通银行北京科技会展中心支行,,杨
夫承安,15125832510,81mh9nh3o@tech.com,MacadamMoore,027-54678639,采购员,汇中技术有限公司,武汉陨运路 15号 孔小区 40号楼 1单元 936室,北京电子科技学院,020105 世界经济,计算机乐谱制作师,晋中市,主任药师,广西壮族自治区,交通银行北京亚北支行,,朱
磨问风,18547255607,qogsk8iki@tech.com,ThomasAnsel,027-54678640,出纳,成同技术有限公司,武汉咎由自取巡路 18号 窝小区 88号楼 8单元 440室,中国农业大学,020106 人口、资源与环境经济学,计算机维护工程师,吕梁市,主任护师,山西省,交通银行北京广渠路支行,,秦
臧卓君,15886399587,eb524djmm@tech.com,MicahHubery,027-54678641,会计,自信长技术有限公司,武汉墓檬路 17号 谜小区 87号楼 2单元 533室,北京农学院,0202 应用经济学,数字视频合成师,长治市,主任技师,辽宁省,交通银行天津分行,,尤
锐立果,13952442998,f0p0nqgsd@tech.com,LynchRachel,027-54678642,专家顾问,晶安技术有限公司,武汉迪逞路 15号 挝小区 14号楼 5单元 726室,北京林业大学,020201 国民经济学,数字视频策划师,临汾市,研究馆员,吉林省,交通银行天津河北支行丁字沽三号路分理处,,许
褒清怡,13696507669,dg5os7jf7@tech.com,AldridgeAmanda,027-54678643,意见顾问,庆合技术有限公司,武汉恐窖路 10号 柑小区 93号楼 4单元 335室,北京协和医学院,020202 区域经济学,办公自动化应用师,晋城市,高级记者,黑龙江,交通银行天津分行北辰支行,,何
芒含雁,18801584344,7bqbcjpt3@tech.com,WinifredAaron,027-54678644,交易员,汇恒技术有限公司,武汉构痛路 07号 彩小区 89号楼 7单元 480室,首都医科大学,020203 财政学,企业信息管理师,运城市,高级编辑,贵州省,交通银行天津分行万德庄支行,,吕
枝以珊,15163450211,j421t1oh9@tech.com,HooverFerdinand,027-54678645,分析师,国宏技术有限公司,武汉恿屠路 18号 孟小区 71号楼 9单元 233室,北京中医药大学,020204 金融学,ERP实施顾问师,呼和浩特市,研究馆员,陕西省,交通银行天津分行金厦支行,,施
汲绍元,15161886445,j138itj6b@tech.com,MacaulayPete,027-54678646,接线员,多辉技术有限公司,武汉坪骄路 05号 友小区 95号楼 4单元 769室,北京师范大学,020205 产业经济学,ERP应用师,呼伦贝尔市,编审,云南省,交通银行天津分行金纬路支行,,张
姚燕晨,13674424938,n8kd8qmq7@tech.com,HazlittUna,027-54678647,雇员,永多技术有限公司,武汉诱矢路 08号 怀小区 42号楼 6单元 787室,首都师范大学,020206 国际贸易学,网络管理师,通辽市,研究馆员,内蒙古自治区,交通银行天津分行环湖中路支行,,孔
茂雪兰,18887924134,pp3pa2to3@tech.com,IvanBelle,027-54678648,职员,盈凯技术有限公司,武汉蒙示路 05号 姿小区 18号楼 5单元 162室,首都体育学院,020207 劳动经济学,网络工程师,赤峰市,国家级教练,甘肃省,交通银行天津大港油田幸福路支行,,曹
赫连紫薇,18510348884,q8hm6r07e@tech.com,PoePerry,027-54678649,工作人员,安巨技术有限公司,武汉诔仝路 16号 岩小区 73号楼 7单元 649室,北京外国语大学,020208 统计学,网络编辑师,巴彦淖尔市,译审,青海省,交通银行石家庄分行,,严
